,3T3L1-D0-rep1,3T3L1-D0-rep2,3T3L1-D0-rep3,3T3L1-D2-rep1,3T3L1-D2-rep2,3T3L1-D2-rep3,3T3L1-D6-rep1,3T3L1-D6-rep2,3T3L1-D6-rep3
ENSMUSG00000026479,83.1285065562499,85.5688473585185,91.0523675752642,112.796733727619,87.5208575684507,71.0208417259402,117.25792137364,75.0442770954387,107.466363811778
ENSMUSG00000004364,2449.32206817522,2476.46311178771,2181.29802321611,2796.54604701267,2651.67360132984,2890.23947197739,2432.37506320526,2338.87996947451,2518.62078097058
ENSMUSG00000103076,13.8547510927083,7.04684625305446,10.8866961231294,32.517977290845,16.6706395368477,28.8200517148743,21.3196220679345,25.9768651484211,26.3781074810728
ENSMUSG00000026478,13316.3950502488,13071.899799416,13935.9607372532,33767.8870429619,36532.6646300308,35410.5799695293,10396.2229793092,10206.9837910963,10092.0685288697
ENSMUSG00000041144,30.6783774195684,24.1606157247582,15.8351943609155,2.03237358067781,5.20957485526492,2.05857512249102,9.6907373036066,12.5073795159065,10.7466363811778
ENSMUSG00000042699,3113.36049554717,3193.22804495554,3166.04917253555,4065.76334814597,4475.02480067257,4434.17081384566,2977.96357339831,3099.90590771158,3100.89307944167
ENSMUSG00000099858,48.4916288244791,78.522001105464,60.3716785009904,59.9550206299955,83.3531976842387,83.3722924608863,74.6186772377708,79.8548076784796,123.097834911673
ENSMUSG00000025986,332.514026225,326.168312284235,357.281572768156,271.321873020488,269.855977502723,260.409752995114,240.330285129444,227.057043519532,253.03443842955
ENSMUSG00000100213,27.7095021854166,23.1539234028932,19.7939929511444,13.2104282744058,25.0059593052716,26.7614765923833,20.3505483375739,37.5221385477194,41.0326116372244
ENSMUSG00000100033,10.8858758585565,8.05353857491939,10.8866961231294,10.1618679033891,12.5029796526358,13.3807382961916,11.6288847643279,14.4315917491228,9.76966943743437
ENSMUSG00000056763,430.486908952008,461.065083414135,412.70475303136,784.496202141636,686.621965923917,757.555645076695,396.35115571751,431.985646357077,430.842422190856
ENSMUSG00000100816,42.5538783561755,40.2676928745969,31.670388721831,17.2751754357614,16.6706395368477,23.6736139086467,13.5670322250492,23.0905467985965,17.5854049873819
ENSMUSG00000026475,81.1492564001487,74.4952318180043,67.2995760338909,132.104282744058,153.161500744789,142.04168345188,169.587902813115,203.966496720936,201.255190411148
ENSMUSG00000045954,829.305815406398,813.407396066858,775.92452368486,578.210283702838,683.496221010758,654.626888952144,2285.07585619044,2181.09456635076,2331.04312777184
ENSMUSG00000066800,238.499643810193,337.241927824749,294.930494972051,30.4856037101672,40.6346838710664,39.1129273273294,248.082874972329,250.147590318129,216.886661511043
ENSMUSG00000067851,1667.51825651525,1646.94863857101,1676.55120296193,1742.76034543122,1753.54289628217,1997.84715637754,1871.28137332643,2058.90708954152,1907.03947418719
ENSMUSG00000038608,7.91700062440475,17.1137694717037,15.8351943609155,10.1618679033891,18.7544694789537,6.17572536747306,8.72166357324594,10.5831672826901,7.8157355499475
ENSMUSG00000042501,174.174013736905,153.017232923468,155.382844666483,34.5503508715228,45.8442587263313,49.4058029397845,79.4640458895741,64.4611098127486,69.364653005784
ENSMUSG00000026107,268.188396151711,260.733311363015,240.497014356404,1020.25153750026,999.196457239812,1081.78122686903,5772.77221175845,5966.98213520399,5963.40622460994
ENSMUSG00000087008,37.6057529659226,51.3413084151111,57.4025795583187,38.6150980328784,32.2993641026425,25.7321890311378,31.9794331019018,25.9768651484211,31.26294219979
ENSMUSG00000048960,214.748641936979,231.539234028932,217.733922462588,31.5017905005061,23.9640443342186,33.9664895211018,72.6805297770495,74.0821709788305,71.3185868932709
ENSMUSG00000056708,824.357690016145,805.353857491939,906.564877162413,576.17791012216,536.586210092287,520.819505990228,553.341100035937,496.446756169825,475.782901603054
ENSMUSG00000026471,502.729539649702,480.192237529568,478.024929770137,259.127631536421,231.305123573763,266.585478362587,410.88726167292,446.417238106199,440.61209162829
ENSMUSG00000026470,795.658562752677,777.166472479721,795.718516636004,784.496202141636,819.987082218699,703.003404330683,854.723030178102,838.95653368234,842.145505506843
ENSMUSG00000033722,519.553165976562,491.265853070083,470.107332589679,434.927946265052,474.071311829108,496.116604520336,548.495731384133,525.309939668071,507.045843802844
ENSMUSG00000026469,774.876436113615,761.059395329882,746.233534258143,1832.18478298105,1857.73439338747,1910.35771367167,1331.50730551555,1286.33587790515,1399.0166634406
ENSMUSG00000018417,1066.81583413854,1112.39501566074,1082.7314144276,1862.67038669122,1917.12354673749,1986.52499320383,1201.65142564722,1191.08737236094,1258.33342354155
ENSMUSG00000026490,1744.7090126032,1760.70487094175,1681.49970119972,2583.1468210415,2536.02103954296,2657.62048313591,2298.64288841549,2252.29041897977,2330.0661608281
ENSMUSG00000033701,727.374432367187,716.764933167825,728.418940602113,712.346940027574,803.316442681851,700.944829208192,653.155694263085,597.467898413685,703.416199495275
ENSMUSG00000033684,2698.70758784397,2558.00518985877,2864.19078003059,6489.36884310426,6695.34560398648,6422.75438217198,3317.13937902454,3123.95856062679,3167.32683161622
ENSMUSG00000033671,840.191691264954,795.286934273289,833.327103243179,852.580717094343,956.47794342664,1027.22898612302,1240.41437486164,1356.56962441755,1230.00138217299
ENSMUSG00000026489,40.5746282000744,34.2275389434074,19.7939929511444,52.8417130976231,53.1376635237022,48.376515378539,1097.96053649863,957.295586025147,962.312439587285
ENSMUSG00000010609,363.192403644568,345.295466399669,356.291873120599,639.181491123172,679.328561126546,628.894699921007,721.959929118692,658.080583760001,728.817340032604
ENSMUSG00000038855,983.68732758229,932.197090046919,998.606944385234,821.078926593837,806.44218759501,777.11210874036,725.836224040134,699.451146774153,640.890315095695
ENSMUSG00000045658,377.047154737276,388.58323623986,354.312473825485,290.629422036927,391.760029115922,411.715024498204,278.124160613509,255.920227017778,295.044017010518
ENSMUSG00000048402,969.832576489582,923.136859150135,1042.15372887775,965.377450821961,1098.17837948985,915.036641947259,375.031533649575,403.122462858831,352.685066691381
ENSMUSG00000037035,376.057529659226,334.221850859155,359.260972063271,148.36327138948,145.868095947418,111.163056614515,128.886806137968,105.831672826901,112.351198530495
ENSMUSG00000005886,1267.70972498281,1301.65317217135,1285.61984217683,1049.72095442009,1161.73519272408,1148.68491834999,1395.46617171935,1484.52973792643,1405.85543204681
ENSMUSG00000004451,1370.63073310007,1266.41894090607,1347.97091997293,1092.40079961432,1067.96284532931,1053.9904627154,859.568398829905,815.865986883744,852.892141888021
ENSMUSG00000098923,145.474886473437,138.923540417359,140.537349953125,139.21759027643,173.999800165848,134.836670523162,133.732174789771,135.656962441755,144.591107674029
ENSMUSG00000026496,1037.12708179702,1062.06039956749,1186.64987742111,2133.9922597117,2227.61420811128,2255.16904668891,1702.66254424368,1698.11729581345,1672.56740768876
ENSMUSG00000025935,1032.17895640677,1007.69901418679,994.648145795005,936.924220692472,782.478143260791,871.806564374947,892.516905662168,906.303961844913,815.76739802577
ENSMUSG00000025937,369.130154112872,395.630082492915,366.188869596171,306.88841068235,325.077470968531,315.991281302372,609.547376396855,584.960518897779,649.683017589386
ENSMUSG00000102982,6.92737554635416,5.03346160932462,2.96909894267166,8.12949432271125,9.37723473947686,10.2928756124551,11.6288847643279,11.5452733992983,9.76966943743437
ENSMUSG00000026219,4806.60900409173,4854.27037603266,4882.18836139976,4624.66608283236,4990.77271134379,5238.0443991784,5752.42166342088,5685.08504303779,5568.71157933759
ENSMUSG00000073633,156.360762331994,169.124310073307,145.485848190911,127.023348792363,106.275327047404,127.631657594443,175.402345195279,145.278023607836,157.291677942693
ENSMUSG00000118590,25.7302520293154,24.1606157247582,12.8660954182439,4.06474716135563,2.08382994210597,2.05857512249102,29.0722119108198,19.2421223321638,30.2859752560465
ENSMUSG00000026104,1024.26195578236,1383.1952502424,1036.21553099241,399.36140860319,411.556413565929,385.982835467066,3087.46890492906,2689.08659591989,2615.34050840118
ENSMUSG00000026383,104.900258273363,107.716078439547,117.774258059309,113.812920517958,103.149582134245,116.309494420743,262.618980927739,264.579182067252,255.96533926078
ENSMUSG00000060743,582.8891709718,557.707546313168,564.128799107615,537.562812089282,555.340679571241,477.589428417917,432.206883740854,395.425613925965,409.3491494285
ENSMUSG00000038806,689.768679401264,729.851933352069,659.139965273108,770.269587076891,792.897292971321,704.032691891929,630.86699846479,593.619473947252,627.212777883287
ENSMUSG00000052477,12.8651260146577,34.2275389434074,18.8042933035872,11.178054693728,11.4610646815828,18.5271761024192,30.0412856411805,28.8631834982457,40.0556446934809
ENSMUSG00000101279,21.7717517171131,17.1137694717037,34.6394876645027,10.1618679033891,12.5029796526358,15.4393134186827,30.0412856411805,25.9768651484211,32.2399091435334
ENSMUSG00000025932,931.237198445609,836.561319469751,883.801785268597,547.724679992671,680.370476097599,732.852743606803,234.51584274728,281.897092166199,240.333868160886
ENSMUSG00000089844,8.90662570245535,3.02007696559477,22.763091893816,13.2104282744058,9.37723473947686,19.5564636636647,15.5051796857706,16.3558039823392,14.6545041561516
ENSMUSG00000026520,157.350387410044,183.218002579416,190.022332330986,392.248101070818,387.59236923171,331.430594721054,256.804538545575,243.412847501872,225.679364004734
ENSMUSG00000026384,296.887523415178,232.545926350797,262.270406602663,561.951295057415,583.472383789671,689.622666034492,582.413311946756,653.27005317696,627.212777883287
ENSMUSG00000036975,177.142888971056,165.097540785847,182.104735150528,223.561093874559,214.634484036915,230.560413718994,341.113953086952,307.87395731462,363.431703072559
ENSMUSG00000026519,1264.74084974866,1160.71624711026,1252.95975380744,1484.64890068514,1043.99880099509,1048.84402490917,945.815960832004,896.682900678832,856.800009662994
ENSMUSG00000026387,0.989625078050594,0,0.989699647557219,0,0,0,21.3196220679345,24.0526529152047,20.5163058186122
ENSMUSG00000038776,3291.49300959627,3215.37527603657,3426.34017984309,1102.56266751771,992.944967413494,952.090994152097,4880.25530609628,4999.10338189615,4982.53141309153
ENSMUSG00000050777,133.59938553683,156.037309889063,133.609452420225,27.4370433391505,34.3831940447485,36.0250646435929,161.83531297023,126.035901275673,130.913570461621
ENSMUSG00000038768,3.95850031220238,0,0.989699647557219,0,1.04191497105298,0,12.5979584946886,10.5831672826901,13.6775372124081
ENSMUSG00000026516,573.982545269344,579.854777394196,600.747686067232,914.568111305016,948.142623658216,901.655903651067,744.248624916987,713.882738523276,719.04767059517
ENSMUSG00000062169,853.056817279612,807.367242135669,826.399205710278,899.325309449932,765.807503723943,790.492847036552,764.599173254561,720.617481339533,740.540943357525
ENSMUSG00000026103,2326.60855849695,2352.63995619833,2333.71176893992,1958.19194498307,1939.0037611296,2191.35321789169,1645.4871941524,1818.38056038948,1621.76512661411
ENSMUSG00000002881,964.884451099329,1000.65216793373,993.658446147448,1481.60034031413,1497.23181340314,1575.83925626688,1017.52741687869,978.461920590528,955.473670981081
ENSMUSG00000058665,531.428666913169,538.580392197734,498.808622368839,326.195959698789,361.544494955386,337.606320088527,331.423215783346,395.425613925965,363.431703072559
ENSMUSG00000043015,95.9936325709076,78.522001105464,80.1656714521348,103.651052614568,100.023837221086,98.811605879569,42.639244135869,49.0674119470176,42.9865455247112
ENSMUSG00000038733,3191.54087671317,3316.04450822306,3308.56592178378,3848.29937501344,3858.2111378092,4235.51831452527,3728.99571442782,3740.66858137264,3781.83903923084
ENSMUSG00000003721,826.336940172246,890.922704850457,850.151997251651,1295.63815768211,1167.9866825504,1181.62212030985,1059.1975872842,1056.39251603579,1013.11472066194
ENSMUSG00000104253,23.7510018732143,30.2007696559477,15.8351943609155,20.3237358067781,13.5448946236888,19.5564636636647,20.3505483375739,25.0147590318129,27.3550744248162
