GeneID,GeneSymbol,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000001376,Vps50,-0.580148242655664,0.0809889292599361,NA,5.04747955057585e-13,2.29975141895358e-12
ENSMUSG00000001380,Hars1,0.357131312176443,0.0683622997305682,NA,1.48693722448878e-07,4.6688691268627e-07
ENSMUSG00000001383,Zmat2,-0.0739081687561448,0.0725665028203054,NA,0.306085100913934,0.385255688310363
ENSMUSG00000001403,Ube2c,2.91725383123663,0.13845299204016,NA,1.52370773746645e-99,6.06218006977723e-98
ENSMUSG00000001415,Smg5,0.301265806888044,0.0590138559776822,NA,2.96607395063942e-07,9.11325637001032e-07
ENSMUSG00000001416,Cct3,0.809712459528448,0.0570049932073363,NA,3.88030213848391e-46,5.65053148009291e-45
ENSMUSG00000001418,Glmp,-1.36024709469256,0.0516414528961518,NA,1.15131668116389e-153,8.97796747971604e-152
ENSMUSG00000001419,Mef2d,0.0233203541425012,0.054559668619539,NA,0.658893620828642,0.724638947214125
ENSMUSG00000001420,Tmem79,1.06779987867122,0.317577062764569,NA,0.000211052394551201,0.000484126069336746
ENSMUSG00000001424,Snd1,0.927496377290165,0.0583168686585852,NA,2.11411251771527e-57,3.93457026566675e-56
ENSMUSG00000001435,Col18a1,1.08982376742903,0.0718556763077062,NA,1.7275712164643e-52,2.89090136180014e-51
ENSMUSG00000001436,Slc19a1,1.24278417296881,0.0850638628623437,NA,5.50499377218476e-49,8.42550371648612e-48
ENSMUSG00000001440,Kpnb1,0.58741060844832,0.041918224543143,NA,3.06012563226079e-45,4.36648850509966e-44
ENSMUSG00000001441,Npepps,0.265815675310008,0.0469287090580509,NA,1.35656698012977e-08,4.6632176817509e-08
ENSMUSG00000001445,Mrpl10,0.364766101756177,0.0828366848657959,NA,8.9855853847691e-06,2.41369599829244e-05
ENSMUSG00000001467,Cyp51,1.99275881814554,0.101992894284845,NA,7.2661518215881e-86,2.28473596390097e-84
ENSMUSG00000001472,Tcf25,-0.0120783421862509,0.0421653852779601,NA,0.775371286479322,0.822730749483029
ENSMUSG00000001473,Tubb6,0.498083328614198,0.0744646288558384,NA,1.61644309087089e-11,6.75510354909495e-11
ENSMUSG00000001482,Def8,0.266156859505149,0.0700878000179358,NA,0.000132839441300997,0.000314189251824438
ENSMUSG00000001504,Irx2,-0.586546528318782,0.0910546620154345,NA,7.46005301850835e-11,2.99015643476372e-10
ENSMUSG00000001506,Col1a1,-1.34691690485911,0.0645043012086683,NA,1.19100193019788e-97,4.64371652584152e-96
ENSMUSG00000001507,Itga3,-1.5703595292834,0.148092436945765,NA,4.8984361769811e-27,4.15647500632194e-26
ENSMUSG00000001517,Foxm1,1.17971147646998,0.098884506790815,NA,2.13458529903364e-33,2.21055725921173e-32
ENSMUSG00000001518,Itfg2,-0.300667389852241,0.111965451246044,NA,0.00635182934853957,0.0117373377393155
ENSMUSG00000001520,Nrip2,0.907861800472891,0.449804670996737,NA,0.0131659893419869,0.0231313247468319
ENSMUSG00000001521,Tulp3,0.398638772707207,0.0664489236937555,NA,1.60424992831421e-09,5.89257698586632e-09
ENSMUSG00000001524,Gtf2h4,0.0187271823522038,0.117491682550317,NA,0.872107821781717,0.902188484246993
