Geneid,3T3L1-D0-rep1_aligned.bam,3T3L1-D0-rep2_aligned.bam,3T3L1-D0-rep3_aligned.bam,3T3L1-D2-rep1_aligned.bam,3T3L1-D2-rep2_aligned.bam,3T3L1-D2-rep3_aligned.bam,3T3L1-D6-rep1_aligned.bam,3T3L1-D6-rep2_aligned.bam,3T3L1-D6-rep3_aligned.bam
ENSMUSG00000056763,435,458,417,772,659,736,409,449,441
ENSMUSG00000099454,0,0,0,0,0,0,0,0,0
ENSMUSG00000051616,0,0,0,0,0,0,0,0,0
ENSMUSG00000099627,0,0,0,0,0,0,0,0,0
ENSMUSG00000099577,0,0,0,0,0,0,0,0,0
ENSMUSG00000099882,0,0,0,0,0,0,0,0,0
ENSMUSG00000101760,0,0,0,0,0,0,0,0,0
ENSMUSG00000102356,0,0,0,0,0,0,0,0,0
ENSMUSG00000099864,0,0,0,0,0,0,0,0,0
ENSMUSG00002075839,0,0,0,0,0,0,0,0,0
ENSMUSG00000100451,0,0,0,0,0,0,0,0,0
ENSMUSG00000099941,0,0,0,0,0,0,0,0,0
ENSMUSG00002075589,0,0,0,0,0,0,0,0,0
ENSMUSG00000100816,43,40,32,17,16,23,14,24,18
ENSMUSG00000042671,1,1,0,1,4,1,9,12,12
ENSMUSG00000100945,0,0,0,0,0,0,0,0,0
ENSMUSG00000102404,0,0,0,0,0,0,0,0,0
ENSMUSG00000026109,2,6,3,1,1,1,0,2,0
ENSMUSG00000026475,82,74,68,130,147,138,175,212,206
ENSMUSG00000100671,0,0,2,1,0,0,0,1,0
ENSMUSG00002075527,0,0,0,0,0,0,0,0,0
ENSMUSG00000101242,0,0,0,0,0,0,1,0,0
ENSMUSG00000099924,0,0,1,0,0,0,2,0,1
ENSMUSG00000099625,0,0,0,0,0,0,0,0,0
ENSMUSG00000045954,838,808,784,569,656,636,2358,2267,2386
ENSMUSG00000099741,3,1,4,7,2,4,5,2,4
ENSMUSG00000066800,241,335,298,30,39,38,256,260,222
ENSMUSG00000067851,1685,1636,1694,1715,1683,1941,1931,2140,1952
ENSMUSG00002076532,0,2,0,3,1,0,2,2,0
ENSMUSG00000102556,0,0,0,1,2,1,1,0,0
ENSMUSG00000038608,8,17,16,10,18,6,9,11,8
ENSMUSG00000042501,176,152,157,34,44,48,82,67,71
ENSMUSG00000103810,1,2,1,1,0,0,1,1,4
ENSMUSG00000083422,1,1,2,0,0,2,2,1,0
ENSMUSG00000119312,0,0,0,0,0,0,0,0,0
ENSMUSG00000042641,5,4,2,2,4,7,3,6,8
ENSMUSG00000081417,0,0,0,0,0,0,0,0,0
ENSMUSG00000103448,0,0,0,0,0,0,0,0,0
ENSMUSG00000103192,0,0,0,0,0,0,0,0,0
ENSMUSG00000104488,0,0,0,0,0,0,0,0,0
ENSMUSG00000100212,0,0,0,0,0,0,0,0,0
ENSMUSG00000102721,0,0,0,0,0,0,0,0,0
ENSMUSG00000100648,2,1,2,1,0,4,3,0,3
ENSMUSG00002076499,0,0,0,0,0,0,0,0,0
ENSMUSG00000099949,0,0,1,0,0,0,0,0,0
ENSMUSG00000099918,0,0,0,0,0,0,0,0,0
ENSMUSG00000026107,271,259,243,1004,959,1051,5957,6202,6104
ENSMUSG00000103424,0,0,0,0,0,0,0,0,0
ENSMUSG00000104029,0,0,0,0,0,0,0,0,0
ENSMUSG00000101986,4,0,2,9,1,1,6,9,1
ENSMUSG00000087008,38,51,58,38,31,25,33,27,32
ENSMUSG00000066797,0,0,0,0,0,0,0,0,0
ENSMUSG00000048960,217,230,220,31,23,33,75,77,73
ENSMUSG00002076439,0,0,0,0,0,0,0,0,0
ENSMUSG00000100031,0,0,0,0,0,0,0,0,0
ENSMUSG00000077318,0,0,0,0,1,0,0,0,0
ENSMUSG00000101827,1,0,3,1,0,2,3,0,0
ENSMUSG00000103494,0,0,0,0,0,0,0,0,0
ENSMUSG00000067158,5,7,5,8,5,9,7,8,6
ENSMUSG00000101880,0,0,1,0,0,0,0,0,0
ENSMUSG00000101433,0,0,0,0,0,0,0,0,0
ENSMUSG00000056708,833,800,916,567,515,506,571,516,487
ENSMUSG00000026471,508,477,483,255,222,259,424,464,451
ENSMUSG00000057715,0,0,0,0,0,0,0,0,1
ENSMUSG00000026470,804,772,804,772,787,683,882,872,862
ENSMUSG00000103825,0,0,0,0,0,0,0,0,0
ENSMUSG00000099845,0,0,0,0,0,0,0,0,0
ENSMUSG00000103561,0,0,0,0,0,0,0,0,0
ENSMUSG00000101610,0,0,0,1,2,1,1,1,1
ENSMUSG00000104181,4,3,2,2,1,2,9,3,12
ENSMUSG00000118923,0,0,0,0,0,0,0,0,0
ENSMUSG00000098555,0,0,0,0,0,0,0,0,0
ENSMUSG00000097628,4,1,1,1,5,2,2,4,4
ENSMUSG00000098163,0,0,0,0,0,0,0,0,0
ENSMUSG00000033722,525,488,475,428,455,482,566,546,519
ENSMUSG00000103670,2,3,5,6,8,5,14,4,7
ENSMUSG00000026469,783,756,754,1803,1783,1856,1374,1337,1432
ENSMUSG00002076398,0,0,0,0,0,0,0,0,0
ENSMUSG00000018417,1078,1105,1094,1833,1840,1930,1240,1238,1288
ENSMUSG00000101724,0,0,0,0,0,0,0,0,0
ENSMUSG00000100313,0,0,1,0,0,0,0,0,0
ENSMUSG00000100696,0,0,0,0,0,0,0,0,0
ENSMUSG00002075355,0,0,0,0,0,0,0,0,0
ENSMUSG00000072324,0,0,1,2,0,1,1,2,0
ENSMUSG00000026490,1763,1749,1699,2542,2434,2582,2372,2341,2385
ENSMUSG00000033701,735,712,736,701,771,681,674,621,720
ENSMUSG00000102194,0,0,0,0,1,0,0,0,0
ENSMUSG00000103636,0,2,0,4,4,2,4,5,0
ENSMUSG00000026468,0,1,0,1,0,0,0,0,0
ENSMUSG00000103180,0,0,0,0,0,0,0,0,0
ENSMUSG00000062939,0,0,1,0,0,0,0,0,0
ENSMUSG00000101628,0,1,2,0,0,0,4,0,2
ENSMUSG00000078291,2,0,0,1,1,0,1,1,1
ENSMUSG00000033684,2727,2541,2894,6386,6426,6240,3423,3247,3242
ENSMUSG00000102299,2,0,0,0,0,0,0,0,1
ENSMUSG00000102558,1,1,1,0,0,1,2,0,0
ENSMUSG00000016918,2,0,0,0,0,1,0,0,1
ENSMUSG00000033671,849,790,842,839,918,998,1280,1410,1259
ENSMUSG00000103717,1,1,3,0,1,0,2,1,2
ENSMUSG00000103771,2,2,2,0,1,4,1,2,5
